Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Manus Bio,Recreates plant processes in microbes to convert sugar into food ingredients and other outputs  (part of a larger business),Fermentation-derived,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,MA,Cambridge,http://www.manusbio.com/what-we-do.php,2011,"Gregory Stephanopoulos, Ajikumar Parayil",Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/we24qMeT3KSI0_tbQ8TUmQ/nfY1PPygmMl3l6jdXqYccBPMnT7PtUYwBpsVuCHGd9mKpsw8KHriBxm_s6Ylo25MIeGbGxVDWQ6mzkgEFmQatb1pJwd6lSvsgxqyWaZZMd8/y6NVvHYMzLvutmA9i-tS9oZtJyJJJaXjvnBss2Tb1_c)
Microbial Discovery Group,Creates custom microbial fermentation solutions for a variety of industries including aquaculture and plant health (part of a larger business),Fermentation-derived,"Ingredients and inputs,Contract manufacturing/processing",Host strain development,,,,U.S. and Canada,United States,WI,Franklin,http://www.mdgbio.com/,2007,,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/WPHhs4SasHnnoKXme4ifJw/cS8OIKmfG31bvM2t2XK8dfb0Fc-nQSTWXp8ZO8kXoTgDT1qlTCWrYvbpIXvrwFdWKkqRSdFCrDxNi6VyhxuVPqMiYBQyH27QKcN9ZmwxD5E/Q2DQkqtiyHUbw3NBID8kLyVoy3FQj1UQnnHnv7qe_30)
Galactic,"Fermentation company producing food ingredients, including dairy coagulants",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,Other,,"U.S. and Canada,Latin America,Europe,Asia Pacific",Belgium,,Escanaffles,https://www.lactic.com/en-us/applications/food.aspx,1994,,GALACTIC_25_orix.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/8p1DOI-KNtf9NNmstbtQ4g/t_swzSwENubQbZ-ngiNAMkgxb81gjHdNGmfqLlFZjTdM1rHeN2qzIP2ZJbXZ-0cmVe2Sg5Zp6T1ky5c8PEm1UBwr51Pc4f19HQ9oprydiLI/rYjRsb45wcWZNWXWsdZy5RaVFynmhN77m68zlH2Q8SE)
Cysal,R&D partner for fermentation solutions; maker of amino acid base materials (part of a larger business),Fermentation-derived,Ingredients and inputs,Ingredient optimization,Ground meat,Beef/veal,,Europe,Germany,,Münster,http://www.cysal.de/,2012,"Ahmed Sallam, Martin Krehenbrink",baqlbupduuwagr20nx9d.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/riR-OL7uAwDsr4zBTR_1QQ/LnL2NlCR6_r-vOolcNmTq8r4OhVTazO1w42kLeIsLTIENwn1c__XNrr-jjPOmCiC1hk3sCpdYDW4a4oM7TLFWpRVptQDW5-zIh_JrSMMPM0/5sFj-IZOiw_9cg3S8_UOfzOaEmjyAvJRdznT3RHbfZg)
Microbiogen,Industrial yeast producer (from waste biomass) looking for partnerships to develop food and animal feed applications (part of a larger business),Fermentation-derived,Ingredients and inputs,Host strain development,,,,Asia Pacific,Australia,,Sydney,http://microbiogen.com.au/,2001,,New-MBG-Logo-Landscape.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/bqo5d6PAekAL7xB4RWccOQ/eNQnqvclBa5cNYJZMDW7yj8rIOzvYcvF9DLmWNsdgpdrmtlZ6Zndt0vfSLYtih0QZQli7Q8oDmzSGgvyy10jyUE17saOqAwuV_66UHSzHYsocjmqmgqYl5uRMnMb6ZtQ/0noeoC63_1haLrWpvIaTUgOC8JV5Plr25T4212L98FE)
Solar Foods,Startup working on solar-powered hydrogen electrolysis to feed microbes for protein production,Biomass fermentation,Ingredients and inputs,"End product formulation and manufacturing,Ingredient optimization",,,"CO2,Water",Europe,Finland,,Helsinki,https://solarfoods.fi/,2017,"Pasi Vainikk, Juha-Pekka Pitkanen",download.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/czhhz1_vaP_7-3zWYnfaiw/OZdfUMQdWl6CsZak-OeePOX5SQJU4yIFD1v5n0dm4J1UMK-lzxNr2SqoT5BVW6GnEleRdODB9jnQjidD7E2UXIR5LmZohi3J8nkxfvP6KZg/AKsTGEWWTsJ3QfshCzU-_rnqHvOblf2f2NqkEd1Svl0)
The EVERY Company,Produces egg proteins using a precision fermentation platform. ,Precision fermentation,"Eggs,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Eggs,Other",,Yeast,U.S. and Canada,United States,CA,San Francisco,https://theeverycompany.com/,2014,"Arturo Elizondo, David Anchel",logo-horiz.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/RGeK9vzpBWkT7TZebKPZSQ/3xEYlpAzGDBxIUCktJcGjLrINLXrbgyWPoMQUUyl3WfWGo4WZ3InR22dkBMAPTfjHDwL-p2NcpcqrqX78cUUvIUp7CO3O9WzLmeSyjZrPAY/WKxjeGNlAWoQYL1z78MNC5hnQv5N8MHSU1TW8Q4I2Tc)
Ingenza,"Platform for fermentation using various bacterial, yeast, and mammalian hosts (part of a larger business)",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,,,Europe,United Kingdom,Scotland,Edinburgh,https://www.ingenza.com/hosts/,2002,"Ian Fotheringham, Sinil Srivastava",jcn2dwm32hck9tcrajrw.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/_dJofIdNDx5rMQFzJrASpA/1GbS-mB4i-sbvfJucsqIh-_z-cxxTNhj_ckkEQVMWndcNz6B3FB8vU25XJV3meGK94e85xpVvbIKPhlMoTzhKbQN-0dtXamDhhPPnwH_T8Q/KPCSjbpqebCG3nG24CWAIJgKzSSgP9HOJFEnGNjDM00)
Nature's Fynd,"Produces edible protein from fungi, Fy as they call it, through fermentation",Biomass fermentation,Ingredients and inputs,"End product formulation and manufacturing,Ingredient optimization",Ground meat,,Fusarium strain flavolapis,U.S. and Canada,United States,IL,Chicago,https://www.naturesfynd.com/,2014,"Thomas Jonas, Matthew Strongin",download (5).jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/am4oLjNSpd9y_zY8WX2C8w/UwKeqSS_3kO9DA-kqBXP9CUg6LbcHDx2kdAlZ_f6h3ZRw37MSBIqT3cewuSKL5uK5s8FE1YT_so5U0XZkEdByQGWISVZKfLowZqlAr7k6Jw/jGc2Q1j3waOwB-tZpBFHYYx-Z_v3UP2QlMQgCGLzVsI)
Photanol,"Uses cyanobacteria to convert CO2 into chemicals, including food ingredients (part of a larger business)",Fermentation-derived,Ingredients and inputs,,,,,Europe,Netherlands,,Amsterdam,https://www.photanol.com/,2008,Klaas Hellingwerf,Screen Shot 2021-01-26 at 3_00_16 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/0j6wzYnOCi-YYUSljM7tWg/SE_EBJpdFHDogYxz9tPBgLDwXbFw0Ee5TUC_g_WCNMlXkHoDgj4lLlVYMpOt4jl6gU6UFg-xZRpscwRlEsP_IOlvTc5jakfN6V4Fusi6-2fQESM6TLJASUyF0CVV4jln/tRQ85B6rAJVGUpb_WVb21R6JtMi3C55hd240bil7rtA)
Novacca,Produces milk proteins using fermentation platform.,Precision fermentation,"Dairy,Ingredients and inputs",Target molecule selection,,,,Europe,Denmark,,Nivå,https://www.linkedin.com/company/novacca/about/,2018,,1544426117123.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/lEjEeyRiJYJpciPA22o4TA/0T5uKCh1VzZs2mXqkdHpeRIB32_R2Ne9-0Efs59mF8P3uU7E9KiXxfIJMB8KiNAkLUyJ4LU3kkddjm3tikkJoR-gP7n42Si_9iFb7E3Qifg/EVjNnnnlDpLfg4Um6KQCExP8GlAnTim5cK2aWp49oBI)
Motif FoodWorks,Maker of microbially produced functional ingredients for plant-based foods,"Precision fermentation,Plant-based","Ingredients and inputs,Meat,Dairy",Ingredient optimization,,,,U.S. and Canada,United States,MA,Boston,https://www.motifingredients.com/,2019,,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/EhsJjU7srA2ZK_WQNCXFwQ/e08ZOQUsLdS3J-cWK3AH-Bx8nwkOu9ibq4qNLgqCo4pFYuxejrOzR-sewgorCNLBiV7toHEcei5NJtihVI0S9chxibermCSq331Hr4Z4Tug/JjgW1x-0pdENGy9hsqCD-u1EJaKlli36Ddhe9Kbqe0M)
Industrial Microbes (iMicrobes),"Startup creating microbes to convert methane and other waste products into to useful chemicals, including agricultural applications (part of a larger business)",Fermentation-derived,Ingredients and inputs,,Other,,,U.S. and Canada,United States,CA,San Francisco,http://www.imicrobes.com/,2014,"Derek Greenfield, Elizabeth Clarke, Noah Helman",Logo+White+Text.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/43fBD8mArIcFjVGdGL7uJg/lsWDWFvvX7YkUaqKvPQUes_EojoR824zi14dgFs9gIIti-tbfO1hww4ABrOZzY9Hb7tlJ_ys9vM93OuUIu7IRocYp3t68HKxGt0AlmnGW4E/aYxmSDw8GraFWIhb1ep1U_oJifRVy6wuDJbZGEB4vf8)
Perfect Day,Produces milk proteins using fermentation platform.,Precision fermentation,"Dairy,Ingredients and inputs","End product formulation and manufacturing,Ingredient optimization","Milk,Other dairy,Cheese",,"Whey,Casein",U.S. and Canada,United States,CA,San Francisco,http://www.perfectdayfoods.com/,2014,"Perumal Gandhi, Ryan Pandya",zhrfn0u37xngdosvvz6n.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/wUpLBUym7oPrJnGIjiQ8wQ/TVZ-V77MI3QMRs_AwmUBaRMyrWswcIiw4pAgokaiGIAhtRYDOCHaNmTb4Dvig46qGLoU4TzYLcduWVEoXCtUlD77KkDW3ynVHZMO0FuWEvI/iCwiU6BYrNCDLKd2yDIxojA6tX7c-JiViLaXgJvssbs)
Phytowelt GreenTechnologies GmbH,"Biotechnology company that produces plant-ingredients in microbial hosts, additionally optimize the yield or performance of crop plants",Fermentation-derived,Ingredients and inputs,Ingredient optimization,Other,,,Europe,Germany,,Nettetal,https://www.phytowelt.com/en/,1998,Peter Welters,pgj80gkrufxu8hfinejq.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/WK8g6zdLHUX45J0LPbX_hw/OBT_4dNEKYyoz_e_f0suSmSPunipHqsCVJ14keRJ6tlUW3zwBsIrA3e3dc2as7YPeaX__yLkVkqJ9cCpFl8zXp6MeGdY_76HGieEFnkyYsk/MlxaBi_KCDUtaL1LYzdgcuw3k1S4fuRFudwtO9MVhbM)
MycoTechnology,Producer of pea and rice proteins fermented by shiitake mycelium. ,"Traditional fermentation,Biomass fermentation","Ingredients and inputs,Meat","Feedstocks,Target molecule selection,End product formulation and manufacturing",,,,U.S. and Canada,United States,CO,Aurora,http://redesign.mycotechcorp.com/,2013,"Alan Hahn, Brooks J. Kelly, James P. Langan, Peter Lubar",MycoTechnology-Logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/QjR0ZustMLeZ3CHSxAh5pA/-V2mxMhWTTtciJaqKruPjsXH113a977ohDg4CZ5yUnPY7FBuCxEtdAPeeqt3STp9A88lXqVcq20mqoAqLOr53y51bqd06BG2rNGow6XTPi0/1xlv_JO0jW392uusfZDhwqGpMUhVSnl9BZ9BWqowM-E)
Nourish Ingredients,Company using precision fermentation to produce fats that mimic the molecular structure of animal fat. ,Precision fermentation,Ingredients and inputs,"Target molecule selection,Host strain development,End product formulation and manufacturing",Oils and fats,Other,,Australia/New Zealand,Australia,,Canberra,https://www.nourishing.io/,2019,"Ben Leita, James Petrie",Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/99nlmXVFyxIsdL-hK5B4Zw/8Jui_m-gaRt1ccgVIZZMRyIeDnqydJUB8iJiSd5c4x4RnnULws5Zd65pBQsYA1lfIYUwWulfRXhZXvsMF9sVHIwlsKcHlRWTK50VrIkwL2I/sVAebMR20Dt7LxLAuVnCe3JI8142SZl2RYEWRqzyb-M)
Buhler,"Swiss supplier of parts and machinery for grains/food, consumer foods, and advanced materials. ",Plant-based,Food processing infrastructure and equipment,,,,,Europe,Switzerland,,Uzwil,https://www.buhlergroup.com/content/buhlergroup/global/en/homepage.html,1860,,Screen Shot 2021-01-28 at 10_34_21 AM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/DH07IHZR_Ah10rJ49BEatA/W1dbC45bL-Q2Ehr_lvnu95xBr6rTovELhjNiaL7Vzyi7pC9pJXLQHe2pXTp1GBjQQsJRtPr-H6vJRIlzz_fPF9G0SbqDfxNPoIlu5jKUrK1zYaKmujvlXKwR6jjBFPyb/4mrI9o0N71oyV_1QcAOGzGM5e7ANBaaWkxONgLE59Vk)
Schaaf Technologie GmbH,"Designs and Manufactures food extruders and the associated machines for the production of extruded snacks, breakfast cereals, coextruded products and flatbreads.",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,Europe,Germany,,Bad Camberg,https://www.foodextrusion.de/en/home,1974,,Screen Shot 2021-01-28 at 10_39_50 AM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/kmray72P3aEUaIwm8NRytQ/mngO1KWjxAbWB1jMq7-aJ3U8nvaqmK4csl9zZAtjbf-WCl6ilK4Mjvja2_PQS8UJInqimqDJeaMDi3dNJsG7LVcO4DZzhtpEPpb7mNRCw9Zem-MUqhOyzHGU4lj_7fEv/QJNMInlwoVLsoYyDtJAjcJByj1z4TNU5EHaMdEzQcTQ)
The Bonnot Company,Manufactures extruders and related equipment for plant-based meats and snacks. ,Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,U.S. and Canada,United States,Ohio,Akron,https://www.thebonnotco.com,1891,,Screen Shot 2021-01-14 at 2_15_48 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/BOH3bMNK1CLApoDtftvFIQ/7y07oSGPdBex4bsfbitg9LU0a7tMCZjgnvnZ8baOEgvDd2C93Jnyt8zPQBp0Y0w1jmb0Zdb0pKqy69AcklfjxRQ3TAO3kVYr9tmAZDdyLCeGAmjKHoB3pbwOrjqQuaJl/xyh5Id8PbsL_INPlpfBTRy2h2WCatL3AaeaVrO5jDAk)
Wenger,Producer of extruders and dryers for plant-based foods. ,Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,U.S. and Canada,United States,Kansas,Sabetha,https://www.wenger.com,1935,,Screen Shot 2021-01-28 at 10_48_00 AM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/9ea92tKJFXeTghpIya5-1w/fXNk3mhXiHjHNsH3kbZq7D3KWENIBL-aGw_J-KcmRvP2ktbstqMTXfH1nIIwFP1XzwxkJViWEjTo-mA2AC2YOXkbD8rKTT4h6THkAColKvapN7UPzIwpRsEPgVQjmGP1/-E3e2RxUlIvqLZ1w4GU5sArWM0m85LbmKpoJ1LiCnZg)
Coperion,"Denmark-based industry leader in compounding and extrusion, feeding and weighing, and bulk material handling and service.",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,Europe,Denmark,,Stuttgart,https://www.coperion.com/en/news-media/calendar/webinars,1879,,Screen Shot 2021-01-27 at 6_28_02 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/b4x4HI4mrUH9pNbZnurqwQ/uRJSX-xUc9U-PP7BAA0ItBxA3gOP6b-zs1OGbvweSLuIl6e_JnSo6rar1KrivbBGD8LHijpEERfSNNahsmnOvqbMd2Nj0P2V6sN68ae7RHkAW6rGsNYqL1VAD4bQlc80/n5d2IERu7pOqRMdm9hJTA6PvKfKsOWBliSDJQfz14KM)
Clextral,"French supplier of processing equipment such as extruders, dryers, and ancillary equipment. ",Plant-based,Food processing infrastructure and equipment,End product formulation and manufacturing,,,,Europe,France,,Firminy,https://www.clextral.com,1956,,Screen Shot 2021-01-27 at 6_24_32 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/f-7JSY2ys4JFurAHvdc_Mw/Fz4svIMbEbj6LzFnG0Cy8rn2bOogFJESn7Ivdj0Mx56USxQY7FY70oCT7gLqkGhhUULlYsWTPTPiL60A1UFDjWRjCkPXuJTaDos5KMyqp0-OXdIQZ1q4drPJIGxulZ1Y/MPcbsohP-L0WbJVWGmJFelxagUkTl4EO7FWLjW4O2n4)
Harvest Innovations,"Uses expeller pressing to turn grains, legumes and oilseeds into minimally-processed, non-GMO, organic, gluten-free ingredients.",Plant-based,Ingredients and inputs,Ingredient optimization,,,Soy,U.S. and Canada,United States,Iowa,Indianola,https://www.adm.com/news/news-releases/adm-enhances-plant-protein-gluten-free-ingredient-portfolio-with-purchase-of-harvest-innovations,2009,,Screen Shot 2021-01-08 at 7_41_45 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/alVbx0nPfUFQyIxilNC8JQ/cXtYfiXxnua_RD0GUco4_hL1GSQw8KISxxdtiO_9_qCdWLQMdKFxSwyHhskF4Lt2BrotyxWnv2PAyzx9V55Ah2r--3yGERMI9Er2m8I8VyN8GUj_Pu5Jh9QQMe05DtM-/5T7i7swv5furEt_iv33PfyZCFcoHxh4vBraEEESDiF0)
DONGYU USI,"Sports nutrition, food and beverage, health and beauty, and pet industry ingredient supplier. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Soy,Pea",U.S. and Canada,United States,California,Tustin,https://dongyu.us,2006,,image.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ObVZx_QDRUC1LbooQ0CNnw/ZD5b93TPehYoE41CT8UWtBC4sTRv2psE0CpEt9Ogc2fKcXhBrp6u-G3T3pG1xtaBP1ZlCmkjSH8Kfnt1tGDY3FO3VMApUnQMFOYLyADny6E/2bjJFhz7qJW-jWDRSJNsNm9u2eqPkMKlDANKhnDsYvQ)
Prolupin GmbH,Produces ingredients from lupine because of its rich protein content. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Lupine,Europe,Germany,,"Grimmen, Mecklenburg-Vorpommern",https://www.prolupin.com/indexen.html,2010,,image.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/1x8f1WO4H0Ra0FsDmFHCew/jmFmrDsrx8c8FF0UaE9j2OwbiOsw_7iI7R64mzpyQaSWp3A36yRVEJGaW22oMFLYaNxp8aTVTFInXC8kVsjMd_t5flfxizZ8DpFJPkSf6B4/Q1caBvSPAZ1pkkUBb2Y_6POBqeiHOe4VL3Y_9gHAzC0)
Beneo,"German ingredients company for human, animal, and pharma industries",Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Rice,Europe,Germany,,Mannheim,https://www.beneo.com,2007,,BENEOLogo270x100px.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/0ejqF1TNB90LiIlGnCe1IA/OQsd7uAwR8PANpSCzAjdFHLaf7ncSo9eN9QSBh-cXgPeS1u8vGh2Nv81BqKL2ujjOIHiRd6_zqKGO21O2LwOXeS2jkG6kl5gKL3kqmGdyPs/aLKM4r5ZfPr1AJB8-zIMX9y8BddkEaIFqMs3zD_CGlI)
Brookside Flavors and Ingredients,"US-based producer of natural, organic flavors and ingredients.	",Plant-based,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,Illinois,Addison,https://brooksideflavors.com,2015,,Screen Shot 2021-01-14 at 1_27_13 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/2sC6iTQM75GjAsIMWHZZsQ/ygRjfOz4krj58KXkHawYbUUv4VSSJBhcRKDYgJZ33o6GvrPDzjF_bZDcuo1DVYQqdv10xhemrGiRiPmV-uiQ0pQEEnTjGBpjy3vzKRRyzjCbaTTnVZV5XTMOYI0anNGC/sYz3EBy2YYpY2VfWxjo0psW_v1E8ufj7fe8TF2l2Odc)
Pacific Soybean & Grain,Producer of non-GMO soy and wheat products. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Wheat,Soy",U.S. and Canada,United States,California,San Mateo,https://www.pacificsoy.com,1973,,"image.gif (https://v5.airtableusercontent.com/v1/14/14/1674252000000/OdZ8c328peM8uR4dFqjKHg/yMD-ZPH7sjVX0MJdfOIZucZs7a6Hk7r81Yc2Ti8tC3tWZ6uaF_po9x1z-OUle7dq6IIQK-0eb8nJ4PaxEhXQRUCf9QqxR_D07vtQIkXOqRw/AzZNXSSyJJL1kgiUwBQj_abSBZXuf6ttVi6Lflb8nEM),image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/rbrJEFDBaALwnL51J_cXvw/LFA6yso3PBi1y8EcH46ApRKNj1Hpuef6HJKEP71U-uUKUhfZGpP6nqZSGVrJT9PpyUQEST-YEvpjYAFIFAk8PJ0CjIltzERutUc_GCCPp28/Mxc7DcNhzqCeVSfHMj-J2oy0x68x72au_YmJ1K5FAOY)"
Olvebra Industrial S.A.,Brazilian producer of functional foods for people with special dietary needs or who seek a healthy lifestyle.,Plant-based,Ingredients and inputs,Ingredient optimization,Ingredients,,Soy,Latin America,Brazil,,Eldorado do Sul,https://olvebra.com.br,1955,"Charles Kung Wei Tse, Sheun Ming Ling",Screen Shot 2021-01-13 at 7_45_44 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/GFl9SG0qcnVJYnsDVoYhrw/yfgYs_FL4Qlrc6y1iZc1suL58wNqbe4sryrewD59WLX9IZ10jEWbCtVEfBz0S7wbXVZAS5KHqzxca8Aaaa1S6DoZBdg0dZO48FgNyUlvq2ui8aTu2FYjV-Xr8RPkLUau/uaFceI-kNEA5hZKwRU4Yy07clyA6RHUVpyzRmTif2kI)
Cargill Food Ingredients,The world's top producers and distributors of agricultural products (See Puris). ,Plant-based,"Ingredients and inputs,Contract manufacturing/processing",Ingredient optimization,"Ground meat,Other meat,Other","Chicken,Beef/veal","Soy,Pea,Corn",,United States,Minnesota,Wayzata,https://www.cargill.com/food-beverage/na/plant-proteins,1865,William Wallace Cargill,Cargill.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ZZVOCQzfeO1w_cCzzll5yQ/3JJvilxBXIqMWQBPOZkHjuNneb0QROBOglX2ZEpJbjtwzUgvEGTwF8jb8JzBFwjfSS_KEikeQ8EFbIffhDRjt2GpkXvYmbxvyIN3AoQ1osA/8-cezIKdm-AmOD7W2XkZYYU1w6NdK0OXK0l9QrAA2jE)
Axiom Foods,Hypoallergenic producer of protein concentrates,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Rice,Soy,Pea,Hemp",U.S. and Canada,United States,California,Los Angeles,http://axiomfoods.com,2005,,"image.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ITxtv39UG1sQxL15YdZP5g/kX25U4JKE_nG2aHu-G6joq74SqzrHHic1qtjRP0Xdn0MWTLbALXcFnTbnQjQs5b1qROJXltkwSdx1uCethTWLYIkFErIEHHvdVHIpDhIafQ/WXWJZQQG36-e-qT3JjqiNyPvo-kTzmtaYJzg1eVk-x0),image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/nvJMkGNiCm2hFytZ-9pvww/rBxcOPTZ2c9uZjs33bRlsACoMUsiCJYmRBwt7Lre30a8s3Ny1glmm7o7r5Gp5dIKebrfMnL7LMeeyYg7i9RgrZmlKcmTI06Nr925mK5ZH2E/Rwkbo-wRB2gWfo-jBUvd8bGVeD7MG2n74O3De-xcDlw)"
"Honeyville Food Products, Inc.",Provides corporations and at-home bakers with their baking ingredient needs. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,Wheat,U.S. and Canada,United States,California,Rancho Cucamunga,https://honeyville.com,1951,Lowell Sherratt Sr.,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/qa7CJtWLyY0BZYtmEsXJKQ/aOKuINZLEtmWJsPdWMCHlFQ5j0pwyazSo3RrIZ1NVOS2eLRsPk4o5HQXrA9bPY3HqplCTshqOt_L1YMCziHlL5zN45kkfHI6o_6dDRA0-vw/RMxhIO7a8Png0IUxKLjjP_uyZRArLwchWH96ZH1bJ48)
"Emerling International Foods, Inc.","Family-owned US-based trading, processing, and food storage firm. ",Plant-based,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,New York,Buffalo,https://emerlinginternational.com,1988,,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/XmOFqQKRuSMPo0dZu_zKJw/5qjj7oyJdgF6aZenGMheSWIvPGDGB_ptysd5xe2qzGK_28Q6kjjjB1mQwgUHVY398jeRqDtI5ciR-6RpRfnZvCbD8zg38D3Qz7HzC0epqk4/1QSo2hgSvWjWTJdFfZQ5r84SfVhfu2XtYHXr3yqkj_E)
Dipasa USA,Researches and develops sesame seed oil production,Plant-based,Ingredients and inputs,Ingredient optimization,,,,U.S. and Canada,United States,Texas,Brownsville,http://www.dipasausa.com/website/webshop/product-catalog/categoryid/1/catname/sesame_oil.aspx?gclid=Cj0KCQiA3NX_BRDQARIsALA3fIKfZ2xBZjfeY6guyOUE_uuQhOkWC4V1iZVLA5m6fGs7_oFF-UvKWhYaAgdDEALw_wcB,1985,,image.jpeg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5Gaj6q4qIheyMDXxYKpQHQ/t-Y7j_WcsAo5JjfAXSEm5xhJe4muhZaGqP6qJa38a3XaU_WhNzGkne_MygmYzk_OOlwr_GJ4vqMyLBs_HtlgfVkshF90Wjol6JHA79oKfvw/DBKIqv0I6jRZfXIuPUm29iM7F08WoF8Btgenl_cHrYA)
Dutch Organic International Trade,Imports and exports organic food ingredients and consumer goods ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Fava bean,Pea,Rice,Soy",Europe,Netherlands,,Barnevald,https://www.organic.nl,1991,,Screen Shot 2021-01-08 at 3_23_55 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/ps8j_djH3hhA-SuTsKxFXQ/8fF44X6LlpnKkAd_7bEDmqxDyX-0-2-KfQM3j3V-PWDGOfJFjkjY4NCqM1haUCVJdRg5qV-w3fpBQT5WWlgHYDK0_fWQvmGGVvPvQHIejY6RHRgpeNJ6JbSVoTurQV4L/XnsSD4dZpo74hZszBwqD-rUox_QOHgDWNLqVccrhSt8)
"NewOrganics, Inc.",Small-scale producer of niche ingredients for buyers. ,Plant-based,Ingredients and inputs,Ingredient optimization,,,"Sunflower,Canola,Coconut",U.S. and Canada,United States,California,Kenwood,www.neworganics.com,2009,,Screen Shot 2021-01-11 at 6_28_43 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/S0UVy917RYEqjTRsBbLhNg/YzbU-PD9jCtr0b8S35xDOo0SpyZgtBpjsVVxAnBc4Cwkf0kKs5xGy5EVAw6_gh-XuWw-rkuVN1aKzOFyGs3WpwpX80ocxj8yutc_8eIPuBYSn-MZ1MhA12SWd7eaf6KE/WRpwDVoOPP_qSMoYIrpNXXLZKdOwwuhN0MDx-lHigz8)
Ingredients Inc.,"Ingredients supplier to food and beverage, pet food, and nutraceutical manufacturers ",Plant-based,Ingredients and inputs,Ingredient optimization,,,"Pea,Chickpea,Mung Bean,Fava bean,Oat,Soy,Rice,Lentils,Quinoa,Sunflower,Wheat,Lupine","U.S. and Canada,Latin America",United States,Illinois,Buffalo Grove,https://www.ingredientsinc.com,1985,,image.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/lxMf8_Hjh-m10EtXHZNqmA/2UZhl5lliXZVe2THc6A0yDZJfw17GdlQSnlgVOsGW5gg3rA3s3vjM_5J_3YWrCD9YmvfzGWYhzbOGJtlFT6F8v9pDSJvlU8hwwBCHfyvPB0/OIWKs2YI-gHFCWG6HEy_7cCWUwSoaI9CqoyVH6w5sTc)
